date	heart_rate
2014-12-20 9:51:6	121
2014-12-20 9:54:8	121
2014-12-20 9:54:19	121
2014-12-20 9:54:20	121
2014-12-20 9:55:19	121
2014-12-20 9:56:9	121
2015-1-20 13:58:52	121
2014-12-20 9:50:59	120
2014-12-20 9:55:17	120
2014-12-20 9:55:18	120
2014-12-20 9:55:5	119
2014-12-20 9:55:16	119
2014-12-20 9:51:1	118
2014-12-20 9:51:0	117
2014-12-20 9:51:2	117
2014-12-20 9:54:59	117
2014-12-20 9:55:2	117
2014-12-20 9:55:3	117
2014-12-20 9:55:4	117
2014-12-20 9:55:6	117
2014-12-20 9:51:7	116
2014-12-20 9:54:6	116
2014-12-20 9:55:7	116
2014-12-20 9:55:15	116
2014-12-20 9:55:8	115
2015-1-20 12:31:59	115
2014-12-20 9:51:8	114
2014-12-20 9:51:10	114
2014-12-20 9:51:11	114
2014-12-20 9:55:0	114
2014-12-20 9:55:1	114
2014-12-20 9:55:9	114
2014-12-20 9:55:10	114
2014-12-20 9:55:11	114
2014-12-20 9:55:12	114
2014-12-20 9:55:13	114
2014-12-19 15:56:8	113
2014-12-19 15:56:9	113
2014-12-19 15:56:11	113
2014-12-19 15:56:12	113
2014-12-20 9:51:9	113
2014-12-20 9:51:12	113
2014-12-20 9:51:13	113
2014-12-20 9:51:45	113
2014-12-20 9:51:46	113
2014-12-20 9:51:48	113
2014-12-20 9:51:49	113
2014-12-20 9:54:2	113
2014-12-19 15:56:13	112
2014-12-20 9:51:44	112
2014-12-20 9:51:47	112
2014-12-20 9:54:3	112
2014-12-20 9:54:4	112
2014-12-20 9:54:5	112
2014-12-20 9:55:14	112
2014-12-20 9:51:15	111
2014-12-20 9:51:16	111
2014-12-20 9:51:17	111
2014-12-20 9:51:52	111
2014-12-20 9:51:53	111
2014-12-20 9:52:54	111
2014-12-19 15:56:10	110
2014-12-20 9:51:14	110
2014-12-20 9:51:18	110
2014-12-20 9:51:20	110
2014-12-20 9:51:28	110
2014-12-20 9:51:50	110
2014-12-20 9:51:51	110
2014-12-20 9:51:54	110
2014-12-20 9:52:52	110
2014-12-20 9:52:53	110
2014-12-20 10:1:58	110
2014-12-20 10:1:59	110
2014-12-20 10:2:0	110
2014-12-20 9:51:19	109
2014-12-20 9:51:27	109
2014-12-20 9:51:43	109
2014-12-20 9:51:55	109
2014-12-20 9:52:55	109
2014-12-20 9:52:56	109
2014-12-20 9:52:57	109
2014-12-20 9:52:58	109
2014-12-20 10:2:1	109
2014-12-20 10:2:2	109
2014-12-20 9:51:56	108
2014-12-20 9:52:51	108
2014-12-20 10:2:3	108
2014-12-20 9:51:21	107
2014-12-20 9:51:26	107
2014-12-20 9:51:30	107
2014-12-20 9:51:31	107
2014-12-20 9:51:42	107
2014-12-20 9:52:59	107
2014-12-20 9:51:22	106
2014-12-20 9:51:24	106
2014-12-20 9:51:25	106
2014-12-20 9:51:29	106
2014-12-20 9:51:32	105
2014-12-20 9:51:40	105
2014-12-20 9:51:41	105
2014-12-20 9:52:48	105
2014-12-20 9:52:49	105
2014-12-20 9:52:50	105
2014-12-20 9:53:40	105
2014-12-20 9:54:1	105
2014-12-20 10:1:57	105
2015-1-8 15:10:11	105
2014-12-19 15:56:14	104
2014-12-20 9:51:23	104
2014-12-20 9:52:47	104
2014-12-20 9:53:5	104
2014-12-20 9:53:39	104
2014-12-20 9:53:41	104
2014-12-20 9:54:0	104
2014-12-20 10:2:4	104
2014-12-20 9:51:34	103
2014-12-20 9:51:35	103
2014-12-20 9:51:38	103
2014-12-20 9:51:39	103
2014-12-20 9:52:46	103
2014-12-20 9:53:0	103
2014-12-20 9:53:4	103
2014-12-20 9:53:6	103
2014-12-20 9:53:38	103
2014-12-20 10:1:55	103
2014-12-15 16:11:5	102
2014-12-20 9:51:33	102
2014-12-20 9:51:36	102
2014-12-20 9:51:37	102
2014-12-20 9:53:3	102
2014-12-20 9:53:7	102
2014-12-20 9:53:59	102
2014-12-20 10:1:53	102
2014-12-20 10:1:54	102
2014-12-20 10:2:5	102
2014-12-20 9:53:37	101
2014-12-20 10:1:52	101
2014-12-20 10:1:56	101
2015-1-11 11:0:26	101
2014-12-15 14:14:17	100
2014-12-15 14:14:18	100
2014-12-15 14:14:19	100
2014-12-15 14:14:20	100
2014-12-15 14:14:21	100
2014-12-15 14:14:22	100
2014-12-15 14:14:23	100
2014-12-15 14:14:24	100
2014-12-15 14:14:25	100
2014-12-20 9:53:2	100
2014-12-20 9:53:8	100
2014-12-20 9:53:36	100
2014-12-20 9:53:42	100
2014-12-20 9:53:58	100
2014-12-20 10:1:51	100
2015-1-8 15:10:12	100
2015-1-11 11:0:21	100
2015-1-11 11:0:25	100
2014-12-15 16:11:2	99
2014-12-20 9:52:45	99
2014-12-20 9:53:1	99
